Sample	Duplicates	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q
Su13.BD.MM15.DN.1	Su13.BD.MM15.DN.1	Su.BD.15.DN	MM15	B	D	Su	13	N	1	Near	MM	D	15
Su13.BD.MM15.DN.2	Su13.BD.MM15.DN.1	Su.BD.15.DN	MM15	B	D	Su	13	N	2	Near	MM	D	15
Su13.BD.MM15.SD.1	Su13.BD.MM15.SD.1	Su.BD.15.SD	MM15	B	D	Su	13	D	1	Near	MM	S	5
Su13.BD.MM15.SD.2	Su13.BD.MM15.SD.1	Su.BD.15.SD	MM15	B	D	Su	13	D	2	Near	MM	S	5
Su13.BD.MM15.SN.1	Su13.BD.MM15.SN.1	Su.BD.15.SN	MM15	B	D	Su	13	N	1	Near	MM	S	5
Su13.BD.MM15.SN.2	Su13.BD.MM15.SN.1	Su.BD.15.SN	MM15	B	D	Su	13	N	2	Near	MM	S	5
Su13.ED.MLB.DD.1	Su13.ED.MLB.DD.1	Su.ED.MLB.DD	MLB	E	D	Su	13	D	1	MLB	MLB	D	8
Su13.ED.MLB.DD.2	Su13.ED.MLB.DD.1	Su.ED.MLB.DD	MLB	E	D	Su	13	D	2	MLB	MLB	D	8
Su13.ED.MLB.SD.1	Su13.ED.MLB.SD.1	Su.ED.MLB.SD	MLB	E	D	Su	13	D	1	MLB	MLB	S	1
Su13.ED.MLB.SD.2	Su13.ED.MLB.SD.1	Su.ED.MLB.SD	MLB	E	D	Su	13	D	2	MLB	MLB	S	1
Su13.ED.MM110.DCMD.1	Su13.ED.MM110.DCMD.1	Su.ED.110.DCMD	MM110	E	D	Su	13	D	1	Off	MM	M	36
Su13.ED.MM110.DCMD.2	Su13.ED.MM110.DCMD.1	Su.ED.110.DCMD	MM110	E	D	Su	13	D	2	Off	MM	M	36
Su13.ED.MM110.SD.1	Su13.ED.MM110.SD.1	Su.ED.110.SD	MM110	E	D	Su	13	D	1	Off	MM	S	5
Su13.ED.MM110.SD.2	Su13.ED.MM110.SD.1	Su.ED.110.SD	MM110	E	D	Su	13	D	2	Off	MM	S	5
Su13.ED.MM110.SN.1	Su13.ED.MM110.SN.1	Su.ED.110.SN	MM110	E	D	Su	13	N	1	Off	MM	S	5
Su13.ED.MM110.SN.2	Su13.ED.MM110.SN.1	Su.ED.110.SN	MM110	E	D	Su	13	N	2	Off	MM	S	5
Su13.ED.MM15.DN.1	Su13.ED.MM15.DN.1	Su.ED.15.DN	MM15	E	D	Su	13	N	1	Near	MM	D	15
Su13.ED.MM15.DN.2	Su13.ED.MM15.DN.1	Su.ED.15.DN	MM15	E	D	Su	13	N	2	Near	MM	D	15
Su13.ED.MM15.SD.1	Su13.ED.MM15.SD.1	Su.ED.15.SD	MM15	E	D	Su	13	D	1	Near	MM	S	5
Su13.ED.MM15.SD.2	Su13.ED.MM15.SD.1	Su.ED.15.SD	MM15	E	D	Su	13	D	2	Near	MM	S	5
Su13.ED.MM15.SN.1	Su13.ED.MM15.SN.1	Su.ED.15.SN	MM15	E	D	Su	13	N	1	Near	MM	S	5
Su13.ED.MM15.SN.2	Su13.ED.MM15.SN.1	Su.ED.15.SN	MM15	E	D	Su	13	N	2	Near	MM	S	5
